title,country,genres,language,writer_count,title_adaption,censor_rating,release_date,runtime,dvd_release_date,users_votes,comments,likes,overall_views,dislikes,ratings_imdb,ratings_tomatoes,ratings_metacritic,special_award,awards_win,awards_nomination,revenue_category
"Way of the Gun, The ",USA,"Action, Crime, Drama, Thriller","English, Spanish",1.0,False,R,08-Sep-00,119 min,19-Jun-01,"30,143",87.0,332.0,305337.0,27.0,6.7/10,48%,49/100,0,0,0,Low
Meet the Parents ,USA,"Comedy, Romance","English, Thai, Spanish, Hebrew, French",6.0,True,PG-13,06-Oct-00,108 min,06-Mar-01,"2,93,116",0.0,9.0,15435.0,1.0,7.0/10,84%,73/100,1,7,14,High
Into the Wild ,USA,"Adventure, Biography, Drama","English, Danish",2.0,True,R,19-Oct-07,148 min,04-Mar-08,"5,24,970",1592.0,5336.0,2459295.0,160.0,8.1/10,82%,73/100,1,23,99,High
Saw V ,"USA, Canada","Crime, Horror, Mystery, Thriller",English,2.0,True,R,24-Oct-08,92 min,20-Jan-09,"1,06,834",7.0,,106662.0,,5.8/10,13%,20/100,0,1,1,High
"Polar Express, The ",USA,"Animation, Adventure, Comedy, Family, Fantasy, Musical",English,3.0,True,G,10-Nov-04,100 min,22-Nov-05,"1,55,793",,693.0,829628.0,96.0,6.6/10,56%,61/100,1,5,23,High
On My Way ,France,"Comedy, Drama",French,2.0,True,Not Rated,18-Sep-13,116 min,,"2,005",0.0,7.0,3574.0,0.0,6.4/10,80%,60/100,0,1,5,Low
Big Momma's House ,"USA, Germany","Action, Comedy, Crime",English,3.0,True,PG-13,02-Jun-00,99 min,28-Nov-00,"76,153",0.0,13.0,11856.0,1.0,5.1/10,30%,33/100,0,1,9,Low
Aurora ,"Romania, France, Switzerland, Germany",Drama,Romanian,1.0,False,Not Rated,29-Jun-11,181 min,10-Jan-12,"1,388",3.0,39.0,33324.0,6.0,6.7/10,76%,63/100,0,7,7,Low
God's Pocket ,USA,"Crime, Drama",English,3.0,True,R,08-Aug-14,88 min,09-Sep-14,"10,106",4.0,7.0,7658.0,2.0,6.1/10,36%,51/100,0,0,1,Low
"Strangers, The ",USA,"Horror, Mystery, Thriller",English,1.0,False,R,30-May-08,86 min,21-Oct-08,"1,10,078",236.0,441.0,949665.0,34.0,6.2/10,48%,47/100,0,1,14,High
"Mill and the Cross, The ","Poland, Sweden","Drama, History","English, Spanish, Flemish",2.0,True,Not Rated,18-Mar-11,92 min,31-Jan-12,"3,511",27.0,332.0,175669.0,15.0,7.0/10,78%,80/100,0,10,7,Low
"German Doctor, The ","Argentina, Spain, Norway, France","Drama, History, Thriller","Spanish, German, Hebrew",1.0,False,PG-13,25-Apr-14,93 min,16-Sep-14,"5,721",126.0,673.0,233917.0,37.0,6.8/10,73%,62/100,0,19,22,Low
Shorts ,"USA, United Arab Emirates","Comedy, Family, Fantasy",English,2.0,True,PG,21-Aug-09,89 min,24-Nov-09,"6,230",,,,,4.8/10,46%,53/100,0,1,1,High
Art School Confidential ,USA,"Comedy, Drama, Romance",English,2.0,True,R,12-May-06,102 min,10-Oct-06,"16,024",48.0,239.0,141196.0,17.0,6.3/10,36%,54/100,0,0,0,Low
Sound of My Voice ,USA,"Drama, Mystery, Sci-Fi, Thriller",English,2.0,False,R,03-Aug-12,85 min,02-Oct-12,"19,401",15.0,170.0,88555.0,11.0,6.6/10,74%,67/100,0,1,7,Low
Amour ,"Austria, France, Germany","Drama, Romance","French, English",1.0,True,PG-13,20-Sep-12,127 min,20-Aug-13,"84,951",0.0,42.0,16632.0,4.0,7.9/10,93%,94/100,1,77,103,High
Genius Within: The Inner Life of Glenn Gould ,Canada,"Documentary, Biography, Music",English,,False,Not Rated,10-Sep-10,106 min,01-Mar-11,361,30.0,146.0,62950.0,1.0,7.4/10,84%,72/100,0,1,4,Low
Bonneville ,USA,"Comedy, Drama",English,3.0,True,PG,29-Feb-08,93 min,08-Jul-08,"2,431",1.0,12.0,5152.0,0.0,6.2/10,40%,46/100,0,0,0,Low
Miracle ,"Canada, USA","Biography, Drama, History, Sport",English,1.0,False,PG,06-Feb-04,135 min,25-May-04,"43,233",52.0,278.0,351081.0,46.0,7.5/10,80%,68/100,0,2,4,High
Johnny English ,"UK, France, USA","Action, Adventure, Comedy","English, French, Japanese",3.0,False,PG,18-Jul-03,87 min,13-Jan-04,"1,37,139",191.0,1498.0,1595708.0,92.0,6.2/10,33%,51/100,0,0,6,High
Man of Tai Chi ,"USA, China, Hong Kong","Action, Drama","Cantonese, English, Mandarin",1.0,False,R,05-Jul-13,105 min,10-Dec-13,"32,979",1212.0,8335.0,6275011.0,468.0,6.1/10,71%,52/100,0,0,0,Low
First Descent ,USA,"Documentary, Sport",English,,False,PG-13,02-Dec-05,110 min,21-Feb-06,"1,038",,,,,7.2/10,52%,51/100,0,0,0,Low
Gone in 60 Seconds ,USA,"Action, Crime, Thriller",English,2.0,True,PG-13,09-Jun-00,118 min,05-Dec-00,"2,46,238",46.0,425.0,422253.0,44.0,6.5/10,25%,35/100,0,9,6,High
Meet the Robinsons ,USA,"Animation, Adventure, Comedy, Family, Sci-Fi",English,9.0,True,G,30-Mar-07,95 min,23-Oct-07,"79,580",992.0,4415.0,2917426.0,383.0,6.9/10,67%,61/100,0,1,10,High
Leviathan ,Russia,"Crime, Drama",Russian,2.0,False,R,05-Feb-15,140 min,19-May-15,"43,275",697.0,1981.0,1642383.0,241.0,7.6/10,98%,92/100,1,33,44,Low
Crooked Arrows ,USA,"Drama, Sport",English,2.0,False,PG-13,18-May-12,105 min,23-Oct-12,"1,742",49.0,104.0,17536.0,69.0,6.0/10,41%,42/100,0,0,0,Low
Dear Mr. Watterson ,USA,Documentary,English,,False,PG,18-May-14,89 min,21-Apr-14,"1,623",69.0,1035.0,146890.0,14.0,6.4/10,62%,54/100,0,0,0,Low
Just a Sigh ,"France, Belgium, Ireland","Drama, Romance","French, English",1.0,False,NOT RATED,10-Jun-14,104 min,,861,1.0,20.0,14588.0,0.0,6.5/10,44%,58/100,0,5,1,Low
"Black Dahlia, The ","USA, Germany, France","Crime, Drama, Mystery, Thriller","English, German",2.0,True,R,15-Sep-06,121 min,26-Dec-06,"68,367",364.0,981.0,814726.0,56.0,5.6/10,33%,49/100,1,4,12,High
Fireflies in the Garden ,USA,Drama,English,2.0,False,R,17-Jul-08,120 min,07-Feb-12,"11,901",9.0,88.0,75707.0,3.0,6.5/10,21%,34/100,0,0,1,Low
Catch a Fire ,"France, UK, South Africa, USA","Biography, Drama, History","English, Afrikaans, Zulu, Portuguese",1.0,False,PG-13,27-Oct-06,101 min,30-Jan-07,"9,745",44.0,143.0,74382.0,9.0,6.7/10,75%,62/100,0,2,5,Low
FearDotCom ,"UK, Germany, Luxembourg, USA, Canada","Crime, Horror, Thriller",English,3.0,True,R,30-Aug-02,101 min,14-Jan-03,"18,860",0.0,,183292.0,,3.3/10,3%,16/100,0,3,3,High
Transporter 3 ,"France, USA, Ukraine","Action, Thriller","English, French, Ukrainian, Russian, Hungarian",4.0,True,PG-13,26-Nov-08,104 min,10-Mar-09,"1,46,925",249.0,1755.0,1238474.0,415.0,6.1/10,38%,51/100,0,0,2,High
Because I Said So ,USA,"Comedy, Romance","English, Mandarin, Italian",2.0,False,PG-13,02-Feb-07,102 min,08-May-07,"35,797",0.0,673.0,804271.0,42.0,5.6/10,4%,26/100,0,0,1,High
Evan Almighty ,USA,"Comedy, Family, Fantasy",English,6.0,True,PG,22-Jun-07,96 min,09-Oct-07,"1,30,838",84.0,606.0,364522.0,53.0,5.4/10,23%,37/100,0,2,11,High
Joyeux Noël ,"France, Germany, UK, Belgium, Romania, Norway, Japan, USA","Drama, History, Music, Romance, War","French, German, English, Latin",1.0,False,PG-13,09-Nov-05,116 min,14-Nov-06,"25,640",79.0,263.0,329012.0,8.0,7.8/10,74%,70/100,1,6,11,Low
Housefull 2 ,India,"Action, Comedy, Musical, Romance",Hindi,7.0,True,Not Rated,05-Apr-12,145 min,,"11,649",,,,,5.4/10,17%,0,0,9,7,Low
Shake Hands with the Devil ,Canada,"Drama, History, War","English, French",2.0,True,R,28-Sep-07,112 min,11-Jan-11,"3,018",267.0,319.0,220058.0,6.0,7.7/10,55%,57/100,0,6,13,Low
Tsotsi ,"UK, South Africa","Crime, Drama","Zulu, Xhosa, Afrikaans, English",2.0,True,R,31-Mar-06,94 min,18-Jul-06,"26,674",,,,,7.3/10,82%,70/100,1,16,13,Low
Master and Commander: The Far Side of the World ,USA,"Action, Adventure, Drama, History, War","English, French, Portuguese",3.0,True,PG-13,14-Nov-03,138 min,20-Apr-04,"1,89,658",,25.0,41783.0,2.0,7.4/10,85%,81/100,1,21,90,High
Boxing Gym ,USA,Documentary,English,,False,UNRATED,09-Mar-11,91 min,28-Jul-14,359,8.0,98.0,48521.0,9.0,7.1/10,95%,83/100,0,0,3,Low
Before Night Falls ,USA,"Biography, Drama, Romance","English, Spanish, Russian, French",5.0,True,R,23-Feb-01,133 min,22-May-01,"22,769",38.0,476.0,195650.0,30.0,7.3/10,73%,85/100,1,15,21,Low
"Flat, The ","Israel, Germany",Documentary,"Hebrew, German, English",1.0,False,NOT RATED,14-Jun-12,97 min,11-Mar-13,"1,398",33.0,152.0,73646.0,2.0,6.9/10,84%,83/100,0,8,4,Low
August: Osage County ,USA,"Comedy, Drama",English,2.0,True,R,10-Jan-14,121 min,08-Apr-14,"79,508",1101.0,4583.0,2851202.0,321.0,7.2/10,66%,58/100,1,15,62,High
Patience ,UK,Documentary,English,,False,NOT RATED,18-Apr-12,86 min,18-Sep-12,194,5.0,116.0,31599.0,6.0,6.9/10,89%,75/100,0,0,0,Low
True Legend ,China,"Action, Drama, History",Mandarin,1.0,True,R,09-Feb-10,115 min,13-Sep-11,"8,072",160.0,772.0,681733.0,60.0,6.4/10,63%,62/100,0,2,1,Low
"Spanish Apartment, The ","France, Spain","Comedy, Drama, Romance","French, Spanish, English, Catalan, Danish, German, Italian",1.0,False,R,20-Jun-03,122 min,23-Dec-03,"37,629",16.0,61.0,92402.0,4.0,7.3/10,76%,65/100,0,8,9,Low
Tetro ,"USA, Argentina, Spain, Italy",Drama,"English, Spanish, French",2.0,False,R,26-Jun-09,127 min,04-May-10,"11,832",19.0,77.0,34314.0,6.0,6.9/10,70%,65/100,0,1,4,Low
Beneath the Harvest Sky ,USA,"Crime, Drama, Romance",English,2.0,False,Not Rated,18-Apr-14,116 min,13-Oct-14,889,12.0,87.0,60718.0,5.0,6.2/10,62%,62/100,0,2,0,Low
"Wild Thornberrys Movie, The ",USA,"Animation, Adventure, Comedy, Family, Fantasy",English,6.0,True,PG,20-Dec-02,85 min,01-Apr-03,"13,371",127.0,456.0,299848.0,34.0,5.4/10,80%,69/100,1,0,12,High
"Robber, The ","Germany, Austria","Biography, Crime, Drama, Sport",German,3.0,True,Not Rated,29-Apr-11,101 min,18-Oct-11,"4,130",,,,,6.8/10,79%,65/100,0,6,11,Low
Free Birds ,USA,"Animation, Adventure, Comedy, Family, Sci-Fi",English,5.0,True,PG,01-Nov-13,91 min,04-Feb-14,"20,962",894.0,3575.0,1611775.0,365.0,5.9/10,18%,38/100,0,0,2,High
Haunted Castle ,"Belgium, USA","Animation, Short, Horror, Thriller",English,2.0,False,PG,23-Feb-01,38 min,16-Oct-01,437,2.0,6.0,3793.0,1.0,5.3/10,25%,0,0,0,0,High
Mr. Woodcock ,USA,"Comedy, Romance, Sport",English,2.0,False,PG-13,14-Sep-07,87 min,15-Jan-08,"33,736",1.0,28.0,21607.0,3.0,5.2/10,13%,41/100,0,0,0,High
"Art of War, The ","USA, Canada","Action, Adventure, Crime, Thriller",English,3.0,True,R,25-Aug-00,117 min,26-Dec-00,"27,424",,,,,5.7/10,16%,30/100,0,2,9,High
S.O.B. ,USA,"Comedy, Drama",English,1.0,False,R,01-Jul-81,122 min,04-Jun-02,"5,055",0.0,,37082.0,,6.4/10,86%,62/100,1,1,3,High
12 Rounds ,USA,"Action, Crime, Thriller",English,1.0,False,PG-13,27-Mar-09,108 min,30-Jun-09,"25,908",223.0,840.0,1001493.0,61.0,5.6/10,30%,38/100,0,0,0,High
"Mighty Macs, The ",USA,"Drama, Sport",English,3.0,True,G,21-Oct-11,99 min,21-Feb-12,"1,277",52.0,209.0,179741.0,24.0,6.5/10,45%,49/100,0,0,0,Low
"Vow, The ",USA,"Drama, Romance",English,4.0,True,PG-13,10-Feb-12,104 min,08-May-12,"1,73,565",3458.0,24611.0,12515445.0,826.0,6.8/10,31%,43/100,0,3,14,High
Don't Come Knocking ,"UK, France, Germany, USA","Drama, Music",English,3.0,True,R,25-Aug-05,122 min,08-Aug-06,"6,914",3.0,60.0,39481.0,1.0,6.7/10,43%,55/100,0,1,7,Low
"Twilight Saga: Eclipse, The ",USA,"Adventure, Drama, Fantasy, Romance",English,2.0,True,PG-13,30-Jun-10,124 min,04-Dec-10,"2,11,879",1812.0,8441.0,4269923.0,299.0,5.0/10,48%,58/100,0,22,34,High
Aaja Nachle ,India,"Drama, Family, Music, Romance",Hindi,2.0,True,Not Rated,30-Nov-07,137 min,08-Jan-08,"2,578",3125.0,70427.0,30516315.0,8496.0,6.4/10,80%,0,0,1,2,Low
Everything Is Illuminated ,USA,"Comedy, Drama","English, Russian, Ukrainian",2.0,True,PG-13,14-Oct-05,106 min,21-Mar-06,"54,912",470.0,2447.0,910515.0,62.0,7.5/10,66%,58/100,0,7,4,Low
Basic Instinct 2 ,"UK, Germany, Spain, USA","Drama, Mystery, Thriller",English,3.0,True,R,31-Mar-06,114 min,11-Jul-06,"35,074",11.0,89.0,196622.0,16.0,4.3/10,7%,26/100,0,8,6,High
Raise Your Voice ,USA,"Family, Music, Musical, Romance","English, French",2.0,True,PG,08-Oct-04,103 min,15-Feb-05,"25,461",66.0,2571.0,500979.0,61.0,5.9/10,15%,33/100,0,2,3,High
"Internship, The ",USA,Comedy,"English, Tagalog, Cantonese, Mandarin, Spanish",3.0,True,PG-13,07-Jun-13,119 min,22-Oct-13,"1,80,023",2304.0,12321.0,5408619.0,653.0,6.3/10,35%,42/100,0,0,2,High
"Lebanon, Pa. ",USA,Drama,"Arabic, English, Hebrew",1.0,False,PG-13,01-Mar-10,100 min,13-Feb-07,494,40.0,17.0,23754.0,2.0,6.3/10,50%,47/100,0,1,1,Low
In Her Shoes ,"USA, Germany, UK","Comedy, Drama, Romance",English,2.0,True,PG-13,07-Oct-05,130 min,31-Jan-06,"56,678",80.0,822.0,1427996.0,73.0,6.5/10,75%,60/100,1,1,6,High
Spread ,USA,"Comedy, Drama, Romance",English,3.0,True,R,08-Jul-09,97 min,10-Nov-09,"36,336",12.0,202.0,97186.0,16.0,5.9/10,21%,43/100,0,0,0,Low
Typhoon ,South Korea,"Action, Drama, Thriller","Korean, English, Thai, Russian, Mandarin",1.0,False,R,14-Dec-05,124 min,27-May-08,"1,184",0.0,2.0,934.0,0.0,5.8/10,22%,46/100,0,2,10,Low
"Mother's Courage: Talking Back to Autism, A ",Iceland,Documentary,"English, Icelandic",,False,,02-Apr-10,103 min,26-Oct-10,217,3.0,119.0,45077.0,5.0,7.5/10,56%,76/100,0,0,2,Low
Spy Kids: All the Time in the World in 4D ,USA,"Action, Adventure, Comedy, Family, Sci-Fi",English,1.0,False,PG,19-Aug-11,89 min,22-Nov-11,"19,989",646.0,1497.0,831482.0,366.0,3.5/10,22%,37/100,0,0,5,High
Reaching for the Moon ,Brazil,"Biography, Drama, Romance","English, Portuguese",4.0,True,Not Rated,16-Aug-13,118 min,11-Feb-14,"2,537",9.0,94.0,54633.0,2.0,7.0/10,65%,44/100,0,8,11,Low
Kal Ho Naa Ho ,India,"Comedy, Drama, Romance","Hindi, Urdu, Gujarati, Punjabi",3.0,True,Not Rated,28-Nov-03,186 min,18-May-04,"57,361",324.0,6912.0,1458707.0,275.0,8.0/10,70%,54/100,0,32,39,Low
Soldiers of Fortune ,"Russia, USA","Action, Thriller",English,3.0,False,R,19-Jul-12,94 min,25-Sep-12,"6,760",383.0,694.0,216632.0,473.0,4.3/10,14%,19/100,0,0,0,Low
Moulin Rouge ,"Australia, USA","Drama, Musical, Romance","English, French, Spanish",2.0,False,PG-13,01-Jun-01,127 min,18-Dec-01,"2,52,129",374.0,3122.0,1962011.0,242.0,7.6/10,76%,66/100,1,84,129,High
"Bourne Ultimatum, The ","USA, Germany, France, Spain","Action, Mystery, Thriller","English, French, Arabic, Russian, Spanish",5.0,True,PG-13,03-Aug-07,115 min,11-Dec-07,"5,79,967",112.0,1802.0,1252858.0,87.0,8.0/10,92%,85/100,1,26,39,High
"Other Guys, The ",USA,"Action, Comedy, Crime","English, Ukrainian",2.0,False,PG-13,06-Aug-10,107 min,14-Dec-10,"2,21,565",2247.0,11600.0,7401032.0,430.0,6.7/10,78%,64/100,0,3,15,High
"Help, The ","USA, India, United Arab Emirates",Drama,English,2.0,True,PG-13,10-Aug-11,146 min,06-Dec-11,"3,93,043",,,,,8.1/10,76%,62/100,1,79,116,High
InAPPropriate Comedy ,USA,Comedy,English,8.0,False,R,17-Jul-14,83 min,31-Dec-13,"4,033",,,,,2.9/10,0%,1/100,0,0,2,Low
"Collection, The ",USA,"Action, Horror, Thriller",English,4.0,True,R,30-Nov-12,82 min,26-Mar-13,"42,300",1468.0,7558.0,4568967.0,551.0,6.1/10,37%,38/100,0,0,0,High
Death Race ,"USA, Germany, UK","Action, Sci-Fi, Thriller",English,5.0,True,R,22-Aug-08,105 min,21-Dec-08,"1,87,729",2.0,41.0,57791.0,4.0,6.4/10,42%,43/100,0,1,5,High
Dragonfly ,"USA, Germany","Drama, Fantasy, Mystery, Romance, Thriller","English, Spanish",5.0,True,PG-13,22-Feb-02,104 min,30-Jul-02,"34,803",3.0,1423.0,937812.0,85.0,6.1/10,7%,25/100,0,0,1,High
New in Town ,"USA, Canada","Comedy, Romance","English, Spanish",2.0,False,PG,30-Jan-09,97 min,26-May-09,"20,172",,,508074.0,,5.6/10,28%,29/100,0,0,0,High
12 Years a Slave ,"USA, UK","Biography, Drama, History",English,2.0,True,R,08-Nov-13,134 min,04-Mar-14,"5,78,247",0.0,18.0,39589.0,2.0,8.1/10,95%,96/100,1,235,326,High
"Salton Sea, The ",USA,"Crime, Drama, Mystery, Thriller",English,1.0,False,R,21-Jun-02,103 min,10-Sep-02,"28,523",5.0,,44380.0,,7.1/10,63%,41/100,0,1,0,Low
"Karate Kid, The ","USA, China","Action, Drama, Family, Romance, Sport","English, Mandarin",2.0,True,PG,11-Jun-10,140 min,05-Oct-10,"1,46,380",3685.0,7116.0,5522215.0,808.0,6.2/10,66%,61/100,0,5,12,High
Derailed ,"USA, UK","Crime, Drama, Thriller","English, French",2.0,True,R,11-Nov-05,108 min,21-Mar-06,"68,009",109.0,1226.0,708851.0,63.0,6.6/10,21%,40/100,0,0,0,High
And Everything Is Going Fine ,USA,Documentary,English,,False,Not Rated,01-Jan-10,89 min,19-Jun-12,967,4.0,62.0,12843.0,1.0,7.2/10,91%,76/100,0,0,1,Low
Black Snake Moan ,USA,"Drama, Music",English,1.0,False,R,02-Mar-07,116 min,26-Jun-07,"58,193",,,308685.0,,7.0/10,66%,52/100,0,1,7,High
